G_ID,GRAV_LON,GRAV_LAT,GRAV_ANOM,NEAR_DIST,NEAR_CONTR,CONTR_LON,CONTR_LAT,CONTR_X,CONTR_Y,CONTR_OTHO.H,CONTR_ELLIP.h,CONTR_GEOID_N
1,3.266666667,6.7,33.46,0.005673805,XST41,3.264344747,6.699541551,529215.5269,740542.2973,50.555,74.333,23.779
2,3.233333333,6.666666667,34.4,0.020167431,XST119,3.250103712,6.671601885,527643.1594,737452.8512,17.58,41.253,23.674
3,3.266666667,6.666666667,33.98,0.019960669,XST119,3.250103712,6.671601885,527643.1594,737452.8512,17.58,41.253,23.674
4,3.3,6.666666667,32.48,0.015892085,XST240,3.288725504,6.658799816,531912.7627,736039.9609,39.549,63.133,23.584
5,3.333333333,6.666666667,29.83,0.014236133,XST123,3.344101822,6.671950924,538032.5471,737497.6954,35.154,58.753,23.599
6,3.466666667,6.666666667,28,0.015827965,XST131,3.461519509,6.683364347,551009.4316,738770.0339,11.489,35.079,23.59
7,3.5,6.666666667,30.99,0.015477807,XST150,3.511231535,6.680649654,556504.2994,738475.3548,46.13,69.691,23.562
8,3.533333333,6.666666667,33.53,0.021579398,XST150,3.511231535,6.680649654,556504.2994,738475.3548,46.13,69.691,23.562
9,3.566666667,6.666666667,35.05,0.012935039,XST159,3.577680739,6.680407761,563848.9152,738456.7329,48.065,71.594,23.529
10,3.6,6.666666667,35.63,0.023800774,XST166,3.61869097,6.655264855,568385.2764,735682.6569,35.289,58.683,23.394
11,3.633333333,6.666666667,35.62,0.017470494,XST167,3.646870141,6.674540542,571497.3167,737817.6077,19.236,42.71,23.474
12,3.666666667,6.666666667,35.32,0.02106159,XST176,3.66955735,6.648943062,574008.8369,734991.0939,31.156,54.519,23.363
13,3.7,6.666666667,34.93,0.023718725,XST177,3.712051241,6.690429036,578699.4651,739584.0664,46.665,70.214,23.549
14,3.733333333,6.666666667,34.69,0.023483091,XST203,3.749736646,6.682724793,582866.1693,738738.5197,1.823,25.328,23.505
15,3.766666667,6.666666667,34.88,0.023927472,XST203,3.749736646,6.682724793,582866.1693,738738.5197,1.823,25.328,23.505
16,3.8,6.666666667,35.5,0.01288991,XST195,3.803523321,6.657600969,588815.945,735970.3169,2.213,25.539,23.326
17,3.833333333,6.666666667,36.28,0.015597353,XST201,3.838593558,6.683016458,592687.8561,738786.6087,21.314,44.751,23.438
18,3.866666667,6.666666667,36.82,0.019271362,XST209,3.882579673,6.684599219,597549.5958,738970.0949,10.709,34.119,23.41
19,3.9,6.666666667,36.88,0.019184165,XST210,3.907949321,6.652540318,600360.397,735430.8082,12.535,35.759,23.225
20,3.933333333,6.666666667,36.43,0.008404261,XST218,3.935228307,6.676580001,603370.9095,738094.2414,19.283,42.604,23.321
21,3.966666667,6.666666667,35.49,0.018332594,XST135,3.981722921,6.684094578,608508.7902,738935.0573,56.221,79.55,23.329
22,4,6.666666667,34.04,0.023080484,XST135,3.981722921,6.684094578,608508.7902,738935.0573,56.221,79.55,23.329
23,4.033333333,6.666666667,32.16,0.008194037,XST239,4.031798861,6.677994144,614045.6158,738271.8996,16.689,39.953,23.264
24,4.066666667,6.666666667,30.13,0.019382858,XST42,4.088917185,6.665776816,620362.6614,736934.686,6.078,29.248,23.17
25,3.233333333,6.633333333,33.45,0.016885661,XST105,3.245263246,6.63722211,527110.0403,733652.0378,28.526,52.053,23.527
26,3.266666667,6.633333333,33.9,0.011098139,XST113,3.281087101,6.629505146,531070.3233,732801.0593,43.981,67.441,23.46
27,3.3,6.633333333,32.76,0.018919372,XST113,3.281087101,6.629505146,531070.3233,732801.0593,43.981,67.441,23.46
28,3.333333333,6.633333333,30.07,0.01427322,XST124,3.323543825,6.642729596,535762.4234,734265.8361,49.308,72.791,23.482
29,3.366666667,6.633333333,27.11,0.011114745,XST128,3.372557102,6.640816598,541180.2602,734058.1666,40.367,63.806,23.439
30,3.4,6.633333333,25.38,0.014879046,XST133,3.41173667,6.639145304,545511.1612,733876.8368,2.327,25.739,23.412
31,3.433333333,6.633333333,25.46,0.020425127,XST133,3.41173667,6.639145304,545511.1612,733876.8368,2.327,25.739,23.412
32,3.466666667,6.633333333,26.68,0.013916513,XST127,3.466548325,6.643481664,551569.4193,734361.5838,1.098,24.503,23.405
33,3.5,6.633333333,27.95,0.019766383,XST132,3.495170731,6.64916737,554732.6125,734993.2046,29.643,53.055,23.412
34,3.533333333,6.633333333,28.74,0.010864402,XST142,3.521882636,6.622778945,557688.3031,732079.0155,37.765,61.053,23.288
35,3.566666667,6.633333333,29.39,0.035237818,XST161,3.542243973,6.651709602,559935.5878,735279.7024,26.653,50.07,23.417
36,3.6,6.633333333,30.39,0.031427142,XST166,3.61869097,6.655264855,568385.2764,735682.6569,35.289,58.683,23.394
37,3.633333333,6.633333333,31.64,0.021666409,XST165,3.645515545,6.614877133,571356.1888,731221.5152,24.122,47.323,23.201
38,3.666666667,6.633333333,32.6,0.018948233,XST176,3.66955735,6.648943062,574008.8369,734991.0939,31.156,54.519,23.363
39,3.7,6.633333333,32.94,0.018622209,XST174,3.706649822,6.612605561,578114.735,730979.5728,1.427,24.605,23.178
40,3.733333333,6.633333333,33.06,0.025580931,XST178,3.712864445,6.648993598,578795.9689,735003.368,27.037,50.387,23.35
41,3.766666667,6.633333333,33.69,0.008191176,XST187,3.77412624,6.622924018,585572.3862,732131.4273,1.412,24.61,23.198
42,3.8,6.633333333,35.13,0.026823889,XST187,3.77412624,6.622924018,585572.3862,732131.4273,1.412,24.61,23.198
