Station Location, Long. ( o ), Lat. ( o ), Elev. above WGS’ 84 ellips. (m), Theoretical Gravity (mGal),Drift Corrected Absolute Gravity (mGal),Latitude Corrected Abs. Grav (mGal), Free-air Gravity on the WGS'84 Ellips. (mGal),Free-air Gravity Anomaly on WGS'84 Ellipsoid (mGal),Geoid Undulations (m),Height of Topography above the Geoid (m)
Abeokuta,3.3141,7.1459,54,978112.5788,978119.857,978039.9548,978056.6192,23.9426,25.4,28.6
Akure Excentre ,5.1942,7.2537,356,978114.9937,978049.739,977967.4279,978077.2895,44.6069,24.72,331.28
Akure (Main Base),5.1846,7.2589,349,978115.111,978050.275,977967.8466,978075.548,42.8654,24.75,324.25
Ibadan,3.9058,7.4303,231,978119.0279,978089.19,978002.8419,978074.1285,41.4487,25.71,205.29
Osogbo (MKO),4.4803,7.7712,309,978127.0852,978063.908,977969.5061,978064.8635,32.1802,25.7,283.3
Osogbo (GPO),4.549,7.7801,316,978127.3006,978060.498,977965.881,978063.3986,30.715,25.71,290.29
Iseyin,3.6154,7.9553,316,978131.5814,978076.506,977977.6073,978075.1249,42.4422,26.02,289.98
Egbe,5.5039,8.248,325,978138.944,978061.738,977955.4795,978055.7745,23.089,25.06,299.94
Ilorin,4.4945,8.4332,344,978143.7359,978059.138,977948.0888,978054.2472,21.5605,25.7,318.3
Kishi,3.8549,9.0749,393,978161.1344,978067.278,977938.833,978060.1128,27.4234,24.83,368.17
Keffi,7.8763,8.8225,302,978154.1436,978061.157,977939.7021,978032.8993,0.2106,23.98,278.02
Abuja (Suleja),7.1797,9.1778,416,978164.0382,978047.504,977916.1586,978044.5362,11.8434,25.57,390.43
Minna,6.4694,9.6664,293,978178.2654,978085.89,977940.3155,978030.7353,-1.9556,28.35,264.65
Saminaka,8.6937,10.4303,783.5,978201.9227,977987.614,977818.4055,978060.1936,27.4794,24.09,759.41
Kaduna,7.446,10.593,641,978207.1828,978029.737,977855.263,978053.0756,20.3668,23.78,617.22
Birnin Gwari (Main Base),6.5478,10.669,431,978209.6689,978090.106,977913.1359,978046.1425,13.4437,22.94,408.06
Birnin Gwari (GMSJ 24),6.5494,10.6695,440,978209.6844,978089.408,977912.4225,978048.2065,15.5076,22.94,417.06
Birnin Gwari (GMSJ 23),6.5474,10.67,432,978209.7008,978089.812,977912.81,978046.1252,13.4264,22.94,409.06
Kano,8.5222,12.0486,476,978257.6911,978120.95,977895.9675,978042.8611,10.1525,22.27,453.73
Katsina,7.6597,13.0069,506,978294.2769,978149.419,977887.858,978044.0096,11.2937,21.15,484.85
New Bussa,4.4993,9.8874,185,978184.9316,978128.227,977975.9814,978033.0724,0.3864,23.56,161.44
Kontagora,5.4449,10.3964,346,978200.8366,978108.636,977940.4924,978047.268,14.575,23.49,322.51
Rijau,5.263,11.1247,356,978224.9182,978115.293,977923.0734,978032.935,0.2364,21.99,334.01
Zaria,7.6863,11.138,669,978225.3736,978031.225,977838.5668,978045.0202,12.3048,22.59,646.41
Zaria,7.653,11.1502,690,978225.7905,978030.569,977837.4942,978050.4282,17.7125,22.57,667.43
Kafin Maiyaki,8.202,11.4543,619,978236.3264,978056.377,977852.7652,978043.7886,11.074,22.22,596.78
Funtua,7.316,11.51,716,978238.2842,978048.326,977842.7589,978063.7165,30.9994,22,694
Gusau,6.6939,12.1722,465,978262.2627,978100.662,977871.1144,978014.6134,-18.1017,21.18,443.82
Oron,8.2363,4.8076,32,978068.9441,978057.479,978021.2125,978031.0877,-1.5899,20.35,11.65
Port Harcourt,7.0148,4.8419,15,978069.4619,978060.809,978024.0246,978028.6536,-4.0239,19.39,-4.39
Calabar (Excentre),8.322,4.96,42,978071.2739,978071.164,978032.5672,978045.5284,12.8513,21.08,20.92
Calabar (Main Bs.),8.3475,4.9691,66,978071.415,978072.187,978033.4491,978053.8167,21.1396,21.15,44.85
Warri,5.769,5.5417,2.5,978080.8293,978049.822,978001.6714,978002.4429,-30.2358,18.88,-16.38
Ikom,8.7236,5.9798,106,978088.7144,978084.643,978028.606,978061.3176,28.6402,22.32,83.68
Owerri,7.0246,5.4983,73,978080.0805,978062.904,978015.5015,978038.029,5.3513,19.75,53.25
Benin,5.6031,6.3167,78,978095.18,978042.409,977979.9095,978003.9803,-28.7002,20.06,57.94
Enugu,7.5668,6.4714,144,978098.2667,978082.22,978016.6315,978061.0699,28.3917,22.53,121.47
Agbede,6.2633,6.8614,144,978106.3726,978071.391,977997.6981,978042.1365,9.4568,22.03,121.97
Wukari,9.7812,7.8709,179,978129.5078,978076.952,977980.1265,978035.3659,2.6836,20.9,158.1
Wukari,9.7858,7.8819,197,978129.7763,978074.357,977977.2633,978038.0575,5.3749,20.9,176.1
Yola,12.4304,9.2576,174,978166.3128,978100.663,977967.0363,978020.7327,-11.9534,17.58,156.42
Numan,11.909,9.5968,154,978176.1944,978105.505,977961.9981,978009.5225,-23.165,18.29,135.71
Gombe,11.1664,10.2868,441,978197.3467,978084.667,977920.0164,978056.109,23.4129,19.41,421.59
Gboko,9.0032,7.2533,203,978114.9843,978078.737,977996.4329,978059.0787,26.3985,21.96,181.04
Lokoja,6.461,7.4611,188,978119.7414,978089.42,978002.3585,978060.3753,27.6954,23.45,164.55
Makurdi,8.6295,7.7056,94,978125.5079,978093.976,978001.1483,978030.1567,-2.5235,21.75,72.25
Bida,6.0121,9.1021,147,978161.8983,978125.979,977996.7626,978042.1268,9.4449,25.43,121.57
Mokwa,5.0654,9.2974,171.5,978167.4562,978125.245,977990.4717,978043.3966,10.7137,23.99,147.51
Baissa,10.6167,7.2246,248,978114.3384,978022.623,977940.9694,978017.5022,-15.1826,20.13,227.87
Serti (Baruwah),11.3466,7.4989,338,978120.6229,977988.082,977900.1482,978004.455,-28.2341,19.29,318.71
Shendam,9.5542,8.8911,231,978156.0252,978085.866,977962.5268,978033.8134,1.1274,21.69,209.31
Jalingo,11.3771,8.8929,207,978156.0733,978086.866,977963.4785,978027.3587,-5.3271,19.74,187.26
Jalingo,11.2867,8.8982,210,978156.221,978087.386,977963.8509,978028.6569,-4.029,19.67,190.33
Mubi,13.267,10.2686,612,978196.7701,978017.895,977853.832,978042.6952,9.9881,17.25,594.75
Biu,12.1947,10.6128,726,978207.8286,978019.264,977844.1463,978068.1899,35.479,18.87,707.13
Jos,8.8913,9.8704,1282,978184.4119,977844.604,977692.922,978088.5472,55.8173,24.87,1257.13
Bauchi (Main Base),9.8306,10.2963,603,978197.6462,978029.911,977864.9702,978051.056,18.3506,22.53,580.47
Bauchi (Excentre),9.8229,10.3204,621,978198.4123,978028.434,977862.7276,978054.3682,21.6623,22.53,598.47
Daki Takwas,5.2961,11.9882,206,978255.4729,978135.86,977913.0915,977976.6631,-56.0413,20.75,185.25
Birnin Kebbi,4.1876,12.4505,231,978272.7147,978171.261,977931.2484,978002.535,-30.1671,20.58,210.42
Sokoto,5.2467,13.009,297,978294.3593,978190.825,977929.1705,978020.8247,-11.8801,20.08,276.92
Illela,5.3193,13.7331,276,978323.7317,978221.324,977930.2999,978015.4735,-17.2341,20.35,255.65
Azare,10.2333,11.5875,444,978241.0258,978137.751,977929.4243,978066.4427,33.7436,21.12,422.88
Potiskum,11.0472,11.7111,422,978245.4331,978115.113,977902.3854,978032.6146,-0.0909,19.54,402.46
Maiduguri,13.0819,11.8556,335,978250.6391,978155.996,977938.0551,978041.4361,8.7379,16.53,318.47
Nguru,10.5361,12.8292,348,978287.2923,978184.874,977930.2854,978037.6782,4.9745,19.66,328.34
Geidam,11.9214,12.8967,320,978289.9337,978184.599,977927.3701,978026.1221,-6.5827,17.95,302.05
Lagos,3.3322,6.589,41,978100.6625,978114.367,978046.3806,978059.0332,26.3571,23.74,17.26
